ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU,,,
alta,high,hoë,i lartë,yüksək,yüksək,visok,alt,hatag-as nga,vysoký,mkulu,altu,segondè,visok,høj,vysoký,visoko,ard,hár,alto,kõrge,handiko,korkea,haute,heech,àrd,uchel,alto,high,kiʻekiʻe,siab,magas,elu,tinggi,alto,dhuwur,bilind,altum,augsts,aukštas,héich,tinggi,avo,għoli,tiketike,hoog,høy,wysoki,Alto,înalt,maualuga,phahameng,matunhu,sare,high,hög,luhur,mataas,yüksek,baland,cao,eliphezulu,ga,okusezingeni eliphezulu,,,
verda,green,groen,e gjelbër,yaşıl,yaşıl,zelen,verd,berde nga,zelený,wobiriwira,Verde,vèt,zelena,grøn,zelená,zelena,glas,grænt,verde,roheline,berdea,vihreä,vert,grien,uaine,wyrdd,verde,kore,ōmaʻomaʻo,ntsuab,zöld,green,hijau,verde,ijo,Kesk,"viridi,",zaļš,žalias,Gréng,hijau,maitso,aħdar,matomato,groen,grønn,Zielony,verde,verde,lanu meamata,tala,girinhi,cagaaran,kijani,grön,hejo,berde,yeşil,yashil,màu xanh lá,luhlaza,alawọ ewe,oluhlaza,,,
kara,dear,Geagte,i dashur,Əziz,Əziz,drag,volgut,minahal,milý,wokondedwa,caru,renmen anpil,draga,Kære,drahá,dragi,daor,elskan,querido,kallis,maitea,rakas,chère,dear,ghràdhach,annwyl,querido,masoyi,mea makemake noʻu,Nyob zoo,kedves,hụrụ n'anya,terhormat,caro,dear,hêja,cara,dārgs,brangusis,Léif,sayang,malala,qalb,aroha,Lieve,kjære,drogi,caro,dragă,pele,moratuoa,inodiwa,gacaliyo,dear,Kära,dear,mahal,Sayın,Hurmatli,kính thưa,abathandekayo,ọwọn,othandekayo,,,
patro,father,pa,baba,ata,ata,otac,pare,amahan,otec,bambo,babbu,papa,otac,far,otec,oče,athair,faðir,padre,isa,aita,isä,père,heit,athair,tad,pai,uba,makuakāne,txiv,apa,nna,ayah,padre,rama,bav,pater,tēvs,tėvas,Papp,bapa,ray,missier,papa,vader,far,ojciec,pai,Tată,tama,ntate,baba,aabbahay,baba,far,bapa,ama,baba,ota,bố,utata,baba,uyise,,,
bela,beautiful,pragtige,e bukur,gözəl,gözəl,lijep,bonic,matahum nga,Krásná,kukongola,bellu,bèl,lijep,smuk,krásny,lepa,go hálainn,falleg,hermosa,ilus,ederra,kaunis,magnifique,moai,bòidheach,hardd,fermoso,kyau,uʻi,zoo nkauj,szép,mara mma,Cantik,bellissimo,ayu,bedew,pulchra,skaists,graži,schéin,indah,tsara tarehy,sbieħ,ataahua,mooi,vakker,piękny,lindo,frumoasa,aulelei,ntle,runako,qurux badan,nzuri,skön,geulis,maganda,güzel,chiroyli,xinh đẹp,entle,lẹwa,enhle,,,
ruĝa,red,rooi,i kuq,qırmızı,qırmızı,crven,vermell,pula nga,Červené,wofiira,rossu,wouj,Crvena,rød,červená,rdeča,dearg,rauður,rojo,punane,gorria,punainen,rouge,read,dearg,Coch,vermello,ja,ulaʻula,liab,piros,red,merah,rosso,abang,sor,rubrum,sarkans,raudonas,Rout,merah,Mena,aħmar,whero,rood,rød,czerwony,vermelho,roșu,lanu mumu,khubelu,tsvuku,cas,nyekundu,röd,beureum,pula,kırmızı,qizil,đỏ,bomvu,pupa,obomvu,,,
bedaŭro,regret,spyt,keqardhje,təəssüf,təəssüf,žaljenje,penediment,pagbasol,litovat,chisoni,rigrettu,regrè,žaljenje,fortryde,ľútosť,obžalovanje,brón,eftirsjá,lamentar,kahetsusega,damua,pahoillani,le regret,spyt,dhuilichinn,gofid,pesar,nadãma,mihi,khuv xim,megbánás,ụta,penyesalan,rimpiangere,Getun,mixabanî,poenitet,nožēlu,apgailestauju,bedaueren,penyesalan,nenina,dispjaċir,tatarahapa,betreuren,angre,żal,arrepender,regret,faanoanoa,a soabile,kuzvidemba,shaleyte,majuto,ångra,kaduhung,panghihinayang,pişmanlık,afsus,sự hối tiếc,ukuzisola,banuje,ukuzisola,,,
de,of,van,të,of,of,od,de,sa,z,wa,di,nan,od,af,z,za,de,af,de,kohta,of,of,de,fan,de,o,de,na,o ka,ntawm,"nak,-nek",nke,dari,di,saka,ji,autem,no,apie,vun,daripada,ny,ta,o,van,av,z,do,de,a,ya,pamusoro,of,ya,av,ti,ng,nın-nin,ning,của,of,ti,ka,,,
nova,new,nuwe,i ri,yeni,yeni,novo,nou,bag-o nga,Nový,yatsopano,novu,nouvo,novi,ny,Nový,novo,nua,ný,nuevo,uus,berriaren,Uusi,Nouveau,nij,ùr,newydd,novo,sabon,mea hou,tshiab,új,ọhụrụ,baru,nuovo,anyar,nşh,novus,jauns,naujas,nei,baru,vaovao,ġdid,hou,nieuw,ny,Nowy,Novo,nou,fou,e ntjha,mutsva,cusub,mpya,ny,anyar,bago,yeni,yangi,Mới,entsha,titun,entsha,,,
efektiva,effective,effektiewe,në fuqi,təsirli,təsirli,efektivan,efectiu,epektibo nga,efektivní,ogwira,diffusion,efikas,djelotvoran,effektiv,efektívna,učinkovit,éifeachtach ó thaobh,árangri,eficaz,tõhus,eraginkor,tehokas,efficace,effektyf,èifeachdach,effeithiol,eficaz,tasiri,pono ka,zoo,hatékony,irè,efektif,efficace,efektif,tesîrane,effective,efektīvs,veiksmingas,effikass,berkesan,mahomby,effettiva,whai hua,effectief,effektiv,efektywny,eficaz,efectiv,lelei,e sebetsang hantle,inoshanda,wax ku ool ah,ufanisi,effektiv,epektip,mabisa,etkili,samarali,có hiệu lực,ngempumelelo,ki o munadoko,ngempumelelo,,,
kompreni,to understand,om te verstaan,të kuptosh,başa düşmək,başa düşmək,razumjeti,entendre,sa pagsabut,rozumět,kumvetsa,à capisce,konprann,razumjeti,at forstå,rozumieť,razumeti,chun thuig,að skilja,comprender,aru saama,ulertu,ymmärtää,comprendre,begripe,a thuigsinn,i ddeall,entender,to fahimta,e maopopo,kom to taub,megérteni,ịghọta,untuk mengerti,capire,ngerteni,fêm kirin,comprehendere,saprast,suprasti,verstoen,untuk memahami,mahazo,biex tifhem,ki te matau,begrijpen,å forstå,rozumieć,para entender,a întelege,ina ia malamalama,ho utloisisa,kunzwisisa,si ay u fahmaan,kuelewa,att förstå,ngartos,maintindihan,anlamak,tushunmoq,hiểu,ukuqonda,lati ni oye,ukuqondisisa,,,
ofte,often,dikwels,shpesh,tez-tez,tez-tez,često,sovint,sa kasagaran,často,zambiri,spissu,souvan,često,tit,často,pogosto,Is minic,oft,a menudo,sageli,askotan,usein,souvent,faak,gu tric a ',aml,frecuentemente,sau da yawa,pinepine,feem ntau,gyakran,mgbe,sering,spesso,asring,gelek car,saepe,bieži,dažnai,oft,sering,matetika,spiss,maha,vaak,ofte,często,frequentemente,de multe ori,masani ona,hangata e,kazhinji,inta badan,mara nyingi,ofta,remen,madalas,sıklıkla,ko'pincha,thường,bavame,igba,ngokuvamile,,,
vero,truth,waarheid,e vërtetë,həqiqət,həqiqət,istina,veritat,kamatuoran,pravda,choonadi,a verità,verite,istina,sandhed,pravda,resnica,fírinne,sannleikurinn,verdad,tõde,egia,totuus,vérité,wierheid,fhìrinn,gwirionedd,verdade,gaskiya,oiaio,qhov tseeb,igazság,eziokwu,kebenaran,verità,bebener,rastî,veritas,patiesība,tiesa,Wourecht,kebenaran,fahamarinana,verità,pono,waarheid,sannhet,prawda,verdade,adevăr,upu moni,'nete,chokwadi,runta,ukweli,sanning,kaleresan,katotohanan,hakikat,haqiqat,sự thật,iqiniso,otitọ,iqiniso,,,
paroli,to speak,om te praat,të flasësh,danışmaq,danışmaq,govoriti,parlar,sa igasulti,mluvit,kulankhula,à parlà,pale,govoriti,at tale,rozprávať,govoriti,chun labhairt,að tala,hablar,rääkida,hitz egin,puhua,parler,sprekke,a 'bruidhinn,i siarad,falar,yi magana,i ka'ōlelo aku,rau hais lus,beszel,na-ekwu okwu,berbicara,parlare,kanggo nganggo,axaftin,dicere,runāt,kalbėti,schwätzen,untuk bercakap,miteny,li jitkellmu,ki te korero,spreken,å snakke,mówić,falar,a vorbi,e tautala,re lokela ho bua,kutaura,in ku hadashaa,kuongea,att tala,nyarios,magsalita,konuşmak,gapirmoq,nói,ukuthetha,to sọrọ,ukukhuluma,,,
rapida,fast,vinnig,shpejt,sürətli,sürətli,brzo,ràpid,pagpuasa,rychle,kudya,viloci,vit,brzo,hurtig,rýchly,hitro,tapa,hratt,rápido,kiire,azkarra,nopeasti,vite,fluch,luath,cyflym,rápido,sauri,hookeai,ceev ceev,gyors,ngwa ngwa,cepat,veloce,cepet,zû,celer,ātri,greitai,séier,cepat,fifadian-kanina,malajr,nohopuku,snel,fort,szybki,velozes,rapid,anapogi,itima lijo,kutsanya,soomi,haraka,snabb,gancang,mabilis,hızlı,tez,Nhanh,fast,sare,okusheshayo,,,
sed,but,maar,por,Amma,Amma,ali,però,apan,ale,koma,ma,men,ali,men,ale,vendar,ach,en,pero,aga,baina,mutta,mais,mar,ach,ond,pero,amma,"akā,",tab sis,de,ma,tapi,ma,nanging,lebê,autem,bet,bet,mä,tetapi,fa,iżda,engari,maar,men,ale,mas,dar,ae,empa,asi,laakiin,lakini,men,tapi,pero,fakat,lekin,nhưng,kodwa,ṣugbọn,kodwa,,,
klara,clear,duidelik,qartë,aydın,aydın,jasno,clar,tin-aw nga,Průhledná,bwino,chjaru,klè,čisto,klar,jasný,jasno,soiléir,ljóst,claro,selge,argi,asia selvä,clair,opklearje,soilleir,clir,claro,bayyanannu,moakaka,ntshiab,egyértelmű,doro anya,bersih,chiaro,langit,zelal,liquet,skaidrs,aiškus,kloer,jelas,mazava,ċara,mārama,Doorzichtig,klar,jasny,Claro,clar,manino,hlakile,pachena,cad,wazi,klar,atra,malinaw,açık,aniq,thông thoáng,kucace,ko,ecacile,,,
pruvi,prove,bewys,provoj,sübut etmək,sübut etmək,dokazati,demostrar,mapamatud-an,dokázat,kutsimikizira,pruvà,pwouve,dokazati,bevise,dokázať,dokazati,chruthú,sanna,probar,tõestama,frogatu,todistaa,prouver,bewize,dearbhadh,profi,probar a,tabbatar da,hoao,ua pov thawj,bizonyít,gosi,membuktikan,dimostrare,mbuktekaken,delîlkirin,probare,izrādīties,įrodyti,beweise,membuktikan,manaporofo,jipprova,whakamatau,bewijzen,bevise,okazać się,provar,dovedi,faamaonia,ipaka,ratidza,caddeeyaan,kuthibitisha,bevisa,ngabuktikeun,patunayan,kanıtlamak,isbotlash,chứng minh,zibonakalise,mule,ukufakazela,,,
lerni,learn,leer,mësoj,öyrənmək,öyrənmək,naučiti,aprendre,makakat-on,Učit se,kuphunzira,amparà,aprann,naučiti,lære,učiť sa,naučiti,foghlaim,læra,aprender,õppima,ikasten,oppia,apprendre,leare,ionnsachadh,dysgu,aprender,koyi,aʻo,kawm,tanul,ịmụta,belajar,imparare,sinau,fêrbûn,discite,mācīties,mokytis,léieren,belajar,mianatra,jitgħallmu,ako,leren,lære,uczyć się,aprender,învăța,aoao,ithute,dzidza,bartaan,kujifunza,lära sig,diajar,matuto,öğrenmek,o'rganish,học hỏi,ufunde,kọ,ufunde,,,
legi,read,lees,lexoj,oxumaq,oxumaq,čitati,llegir,sa pagbasa,číst,werengani,leghje,li,čitati,Læs,čítať,prebrati,léamh,lesa,leer,lugenud,irakurri,lukea,lis,lêze,leughadh,darllen,ler,karanta,heluhelu,nyeem,olvas,agụ,Baca,leggere,maca,xwendin,legere,lasīt,skaityti,liesen,membaca,vakio ny,aqra,te pānui i,lezen,lese,czytać,ler,citit,faitau,bala,verenga,akhri,kusoma,läsa,maca,basahin,okumak,o'qib,đọc,ukufunda,ka,funda,,,
skribi,write,skryf,shkruaj,write,write,pisati,escriptura,isulat,napsat,lemba,scrivere,ekri,pisati,skrive,write,pisanje,scríobh,skrifa,escribir,kirjuta,idazketa,kirjoittaa,écrire,skriuwe,a 'sgrìobhadh,ysgrifennu,Write,write,kahakaha iho,sau,ír,dee,menulis,Scrivi,nulis,nivîsîn,scribentes injustitiam,rakstīt,Parašyti,schreiwen,write,soraty,tikteb,Tuhituhi,schrijven,skrive,pisać,escrever,scrie,tusi,"a ngole,",nyora,waxaad u qortaa,andika,skriva,nulis,write,yazmak,yozish,ghi,bhala,kọ,bhala,,,
konsentas,agree,stem,bie dakord,razılaşmaq,razılaşmaq,složiti,acordar,mouyon,souhlasit,kugwirizana,accordu,dakò,složiti,enig,súhlasiť,se strinjam,aontú,sammála,de acuerdo,nõustuma,ados,olla samaa mieltä,se mettre d'accord,oerienkomme,aontachadh,cytuno,acordo,yarda,ae,pom zoo,egyetért,ekweta,setuju,essere d'accordo,setuju,qebûlkirin,conveniunt,piekrist,susitarti,averstanen,bersetuju,manaiky,jaqblu,whakaae,mee eens,bli enige,Zgodzić się,aceita,de acord,ioe,lumellana,dzinobvumirana,heshiiyaan,kubali,hålla med,satuju,sumang-ayon,Katılıyorum,rozi,đồng ý,uyavuma,gba,uyavumelana,,,
ne,not,nie,nuk,yox,yox,ne,no,dili,ne,osati,ùn,pa,ne,ikke,nie,ne,ní,ekki,no,mitte,ez,ei,ne pas,net,chan eil,nid,non,ba,ole,tsis,nem,bụghị,tidak,non,ora,ne,non,nav,ne,net,tidak,tsy,mhux,e kore,niet,ikke,nie,não,nu,lē,ha,kwete,ma,si,inte,teu,hindi,değil,yo'q,không phải,hayi,ko,hhayi,,,
vidi,see,sien,Shiko,görmək,görmək,vidjeti,veure,tan-awa ang,vidět,onani,vede,wè,vidjeti,se,vidieť,glej,féach,sjá,ver,nägema,ikusi,nähdä,voir,sjen,fhaicinn,gweld,Ver,gani,ike,saib,lát,ahụ,Lihat,vedere,ndeleng,dîtin,videre,redzēt,pamatyti,gesinn,melihat,jereo,tara,kite,zien,se,widzieć,Vejo,vedea,vaʻai,bona,ona,arki,kuona,ser,tingali,makita,görmek,ko'rish,xem,ukubona,wo,ukubona,,,
papo,Pope,Pous,papë,Papa,Papa,papa,papa,Papa,Papež,papa,Pope,Pap,Papa,Pave,pápež,Pope,Pope,Pope,Papa,paavst,Aita Santuak,Paavi,le pape,paus,Pope,Pope,Papa,Paparoma,Pope,Pope,Pápa,Pope,Paus,Papa,Paus,Papa,papa,pāvests,popiežius,Poopst,paus,Pope,Papa,Pope,paus,Pave,Papież,Papa,Papă,ositāulaga,Pope,papa,Pope,Papa,Påve,paus,papa,papa,Rim papasi,Đức Giáo Hoàng,Pope,Pope,Pope,,,
suno,sun,son,diell,günəş,günəş,sunce,sol,adlaw,slunce,dzuwa,soli,solèy,Sunce,sol,slnko,sonce,ghrian,sun,Dom,päike,eguzkia,aurinko,Soleil,sinne,ghrian,haul,sol,rãnã,lā,hnub,nap,anyanwụ,matahari,sole,sun,tav,solis,saule,saulė,Sonn,matahari,masoandro,xemx,ra,zon,sol,słońce,Sol,soare,lā,letsatsi,zuva,qorraxdu,jua,Sol,panonpoe,araw,Güneş,quyosh,mặt trời,ilanga,oorun,ilanga,,,
brili,shine,skyn,shndrit,parlaq,parlaq,sijati,brillantor,ag,lesk,kudzawala,beddhu,klere,sjaj,skinne,lesk,sijaj,Shine,skína,brillar,sära,distira,paistaa,éclat,skine,Shine,disgleirio,brillo,haske,alohi,ci,ragyog,na-enwu,bersinar,brillare,kawentar,birq,luceat,spīdēt,šviesti,Nordliichter,bersinar,hamirapiratra,shine,whiti,schijnen,skinne,połysk,brilho,strălucire,susulu,le ke le khanye,penya,iftiimo,uangaze,glans,caang,kinang,parlamak,nur sochmoq,chiếu sáng,ukhanye,imọlẹ,kukhanye,,,
bebo,baby,baba,bebe,körpə,körpə,beba,nadó,bata,dítě,mwana,zitellu,ti bebe,dijete,baby,dieťa,dojenček,leanbh,barnið,bebé,laps,umea,vauva,bébé,poppe,naoidhean,babi,bebé,baby,bebe,tus me nyuam,baba,nwa,bayi,bambino,baby,bebek,infans,mazulis,kūdikis,Puppelchen,bayi,zazakely,tarbija,tamaiti,baby,baby,dziecko,bebê,bebelus,tamameamea,lesea,mwana,ilmahaaga,mtoto,bebis,orok,sanggol,bebek,chaqaloq,đứa bé,baby,Ọmọ,ingane,,,
iri,to go,om te gaan,për të shkuar,getmək,getmək,ići,anar,sa pag-adto,jít,kupita,andà,yo ale,ići,at gå,ísť,iti,dul,að fara,ir,minema,joan,mennä,aller,Gean,Gu bhith a 'dol,i fynd,Ir,je,e hele,mus,menni,na-aga,untuk pergi,andare,tindak ning,çûn,ire,iet,eiti,goen,untuk pergi,mandeha,biex tmur,ki te haere,gaan,å gå,iść,ir,a merge,e alu,ho ea,kuenda,si ay u tagaan,kwenda,att gå,mun balik,upang pumunta,gitmek,bormoq,đi,ukuhamba,lati lọ,ukuhamba,,,
veni,to come,om te kom,te vish,gəlmək,gəlmək,doći,venir,nga moabut,přijít,kubwera,à vene,vini,doći,at komme,prísť,priti,tar,að koma,venir,tulema,etorri,tulla,venir,komme,a 'tighinn,i ddod,para vir,to zo,e hele mai,tuaj,jönni,na-abịa,datang,venire,teka,hatin,venire,nākt,ateiti,ze kommen,akan datang,ho avy,li ġejjin,ki te haere mai,komen,å komme,przyjść,vir,a veni,ina ia o mai,ho kena,kuuya,inuu yimaado,kuja,att komma,sumping,na dumating,gelmek,kelmoq,đến,ukuza,lati wa,ukuza,,AZERBAIJANI ,ədəbiyyat
vendi,sell,sell,shes,satış,satış,prodaju,vendre,sell,prodat,kugulitsa,vendi,vann,prodati,sælge,sell,prodaja,dhíol,selja,vender,müüa,saldu,myydä,vendre,ferkeapje,reic,gwerthu,Sell,sell,E kuai lilo aku,muag,elad,ere,menjual,vendere,sell,firotin,'vendunt,pārdot,parduoti,verkafen,jual,mivarotra,jbiegħu,hokona,verkopen,selge,Sprzedać,vender,vinde,faʻatau atu,rekisetse,ikatengesa,iibiyay,kuuza,sälja,ngajual,sell,satmak,sotish,bán,ethengisa,ta,ukuthengisa,,CROATIAN ,Književnost
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICELANDIC ,bókmenntir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTONIAN,kirjandus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINNISH,Kirjallisuus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELSH ,llenyddiaeth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAUSA ,Wallafe-wallafe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAWUAIAN,moʻokalaleo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNGARIAN,Irodalom
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAVANESE,Sastra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KURDISH,Hêdane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALAY,Kesusasteraan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALAGASY,Haisoratra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMOAN,tusitusi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESOTHO,lingoliloeng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOMALI,suugaanta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDANESE,Sastra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAGALOG,panitikan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TURKISH ,Edebiyat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZBEK ,adabiyot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIETNAMESE ,Văn chương
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZULU ,Kuye kwanyatheliswa izincwadi
