ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU,,,
nova,new,nuwe,i ri,yeni,yeni,novo,nou,bag-o nga,Nový,yatsopano,novu,nouvo,novi,ny,Nový,novo,nua,ný,nuevo,uus,berriaren,Uusi,Nouveau,nij,ùr,newydd,novo,sabon,mea hou,tshiab,új,ọhụrụ,baru,nuovo,anyar,nşh,novus,jauns,naujas,nei,baru,vaovao,ġdid,hou,nieuw,ny,Nowy,Novo,nou,fou,e ntjha,mutsva,cusub,mpya,ny,anyar,bago,yeni,yangi,Mới,entsha,titun,entsha,,,
efektiva,effective,effektiewe,në fuqi,təsirli,təsirli,efektivan,efectiu,epektibo nga,efektivní,ogwira,diffusion,efikas,djelotvoran,effektiv,efektívna,učinkovit,éifeachtach ó thaobh,árangri,eficaz,tõhus,eraginkor,tehokas,efficace,effektyf,èifeachdach,effeithiol,eficaz,tasiri,pono ka,zoo,hatékony,irè,efektif,efficace,efektif,tesîrane,effective,efektīvs,veiksmingas,effikass,berkesan,mahomby,effettiva,whai hua,effectief,effektiv,efektywny,eficaz,efectiv,lelei,e sebetsang hantle,inoshanda,wax ku ool ah,ufanisi,effektiv,epektip,mabisa,etkili,samarali,có hiệu lực,ngempumelelo,ki o munadoko,ngempumelelo,,,
kompreni,to understand,om te verstaan,të kuptosh,başa düşmək,başa düşmək,razumjeti,entendre,sa pagsabut,rozumět,kumvetsa,à capisce,konprann,razumjeti,at forstå,rozumieť,razumeti,chun thuig,að skilja,comprender,aru saama,ulertu,ymmärtää,comprendre,begripe,a thuigsinn,i ddeall,entender,to fahimta,e maopopo,kom to taub,megérteni,ịghọta,untuk mengerti,capire,ngerteni,fêm kirin,comprehendere,saprast,suprasti,verstoen,untuk memahami,mahazo,biex tifhem,ki te matau,begrijpen,å forstå,rozumieć,para entender,a întelege,ina ia malamalama,ho utloisisa,kunzwisisa,si ay u fahmaan,kuelewa,att förstå,ngartos,maintindihan,anlamak,tushunmoq,hiểu,ukuqonda,lati ni oye,ukuqondisisa,,,
vero,truth,waarheid,e vërtetë,həqiqət,həqiqət,istina,veritat,kamatuoran,pravda,choonadi,a verità,verite,istina,sandhed,pravda,resnica,fírinne,sannleikurinn,verdad,tõde,egia,totuus,vérité,wierheid,fhìrinn,gwirionedd,verdade,gaskiya,oiaio,qhov tseeb,igazság,eziokwu,kebenaran,verità,bebener,rastî,veritas,patiesība,tiesa,Wourecht,kebenaran,fahamarinana,verità,pono,waarheid,sannhet,prawda,verdade,adevăr,upu moni,'nete,chokwadi,runta,ukweli,sanning,kaleresan,katotohanan,hakikat,haqiqat,sự thật,iqiniso,otitọ,iqiniso,,,
paroli,to speak,om te praat,të flasësh,danışmaq,danışmaq,govoriti,parlar,sa igasulti,mluvit,kulankhula,à parlà,pale,govoriti,at tale,rozprávať,govoriti,chun labhairt,að tala,hablar,rääkida,hitz egin,puhua,parler,sprekke,a 'bruidhinn,i siarad,falar,yi magana,i ka'ōlelo aku,rau hais lus,beszel,na-ekwu okwu,berbicara,parlare,kanggo nganggo,axaftin,dicere,runāt,kalbėti,schwätzen,untuk bercakap,miteny,li jitkellmu,ki te korero,spreken,å snakke,mówić,falar,a vorbi,e tautala,re lokela ho bua,kutaura,in ku hadashaa,kuongea,att tala,nyarios,magsalita,konuşmak,gapirmoq,nói,ukuthetha,to sọrọ,ukukhuluma,,,
rapida,fast,vinnig,shpejt,sürətli,sürətli,brzo,ràpid,pagpuasa,rychle,kudya,viloci,vit,brzo,hurtig,rýchly,hitro,tapa,hratt,rápido,kiire,azkarra,nopeasti,vite,fluch,luath,cyflym,rápido,sauri,hookeai,ceev ceev,gyors,ngwa ngwa,cepat,veloce,cepet,zû,celer,ātrs,greitai,séier,cepat,fifadian-kanina,malajr,nohopuku,snel,fort,szybki,velozes,rapid,anapogi,itima lijo,kutsanya,soomi,haraka,snabb,gancang,mabilis,hızlı,tez,Nhanh,fast,sare,okusheshayo,,,
klara,clear,duidelik,qartë,aydın,aydın,jasno,clar,tin-aw nga,Průhledná,bwino,chjaru,klè,čisto,klar,jasný,jasno,soiléir,ljóst,claro,selge,argi,asia selvä,clair,opklearje,soilleir,clir,claro,bayyanannu,moakaka,ntshiab,egyértelmű,doro anya,bersih,chiaro,langit,zelal,liquet,skaidrs,aiškus,kloer,jelas,mazava,ċara,mārama,Doorzichtig,klar,jasny,Claro,clar,manino,hlakile,pachena,cad,wazi,klar,atra,malinaw,açık,aniq,thông thoáng,kucace,ko,ecacile,,,
pruvi,prove,bewys,provoj,sübut etmək,sübut etmək,dokazati,demostrar,mapamatud-an,dokázat,kutsimikizira,pruvà,pwouve,dokazati,bevise,dokázať,dokazati,chruthú,sanna,probar,tõestama,frogatu,todistaa,prouver,bewize,dearbhadh,profi,probar a,tabbatar da,hoao,ua pov thawj,bizonyít,gosi,membuktikan,dimostrare,mbuktekaken,delîlkirin,probare,izrādīties,įrodyti,beweise,membuktikan,manaporofo,jipprova,whakamatau,bewijzen,bevise,okazać się,provar,dovedi,faamaonia,ipaka,ratidza,caddeeyaan,kuthibitisha,bevisa,ngabuktikeun,patunayan,kanıtlamak,isbotlash,chứng minh,zibonakalise,mule,ukufakazela,,,
lerni,learn,leer,mësoj,öyrənmək,öyrənmək,naučiti,aprendre,makakat-on,Učit se,kuphunzira,amparà,aprann,naučiti,lære,učiť sa,naučiti,foghlaim,læra,aprender,õppima,ikasten,oppia,apprendre,leare,ionnsachadh,dysgu,aprender,koyi,aʻo,kawm,tanul,ịmụta,belajar,imparare,sinau,fêrbûn,discite,mācīties,mokytis,léieren,belajar,mianatra,jitgħallmu,ako,leren,lære,uczyć się,aprender,învăța,aoao,ithute,dzidza,bartaan,kujifunza,lära sig,diajar,matuto,öğrenmek,o'rganish,học hỏi,ufunde,kọ,ufunde,,,
legi,read,lees,lexoj,oxumaq,oxumaq,čitati,llegir,sa pagbasa,číst,werengani,leghje,li,čitati,Læs,čítať,prebrati,léamh,lesa,leer,lugenud,irakurri,lukea,lis,lêze,leughadh,darllen,ler,karanta,heluhelu,nyeem,olvas,agụ,Baca,leggere,maca,xwendin,legere,lasīt,skaityti,liesen,membaca,vakio ny,aqra,te pānui i,lezen,lese,czytać,ler,citit,faitau,bala,verenga,akhri,kusoma,läsa,maca,basahin,okumak,o'qib,đọc,ukufunda,ka,funda,,,
skribi,write,skryf,shkruaj,write,write,pisati,escriptura,isulat,napsat,lemba,scrivere,ekri,pisati,skrive,write,pisanje,scríobh,skrifa,escribir,kirjuta,idazketa,kirjoittaa,écrire,skriuwe,a 'sgrìobhadh,ysgrifennu,Write,write,kahakaha iho,sau,ír,dee,menulis,Scrivi,nulis,nivîsîn,scribentes injustitiam,rakstīt,Parašyti,schreiwen,write,soraty,tikteb,Tuhituhi,schrijven,skrive,pisać,escrever,scrie,tusi,"a ngole,",nyora,waxaad u qortaa,andika,skriva,nulis,write,yazmak,yozish,ghi,bhala,kọ,bhala,,,
konsentas,agree,stem,bie dakord,razılaşmaq,razılaşmaq,složiti,acordar,mouyon,souhlasit,kugwirizana,accordu,dakò,složiti,enig,súhlasiť,se strinjam,aontú,sammála,de acuerdo,nõustuma,ados,olla samaa mieltä,se mettre d'accord,oerienkomme,aontachadh,cytuno,acordo,yarda,ae,pom zoo,egyetért,ekweta,setuju,essere d'accordo,setuju,qebûlkirin,conveniunt,piekrist,susitarti,averstanen,bersetuju,manaiky,jaqblu,whakaae,mee eens,bli enige,Zgodzić się,aceita,de acord,ioe,lumellana,dzinobvumirana,heshiiyaan,kubali,hålla med,satuju,sumang-ayon,Katılıyorum,rozi,đồng ý,uyavuma,gba,uyavumelana,,,
vidi,see,sien,Shiko,görmək,görmək,vidjeti,veure,tan-awa ang,vidět,onani,vede,wè,vidjeti,se,vidieť,glej,féach,sjá,ver,nägema,ikusi,nähdä,voir,sjen,fhaicinn,gweld,Ver,gani,ike,saib,lát,ahụ,Lihat,vedere,ndeleng,dîtin,videre,redzēt,pamatyti,gesinn,melihat,jereo,tara,kite,zien,se,widzieć,Vejo,vedea,vaʻai,bona,ona,arki,kuona,ser,tingali,makita,görmek,ko'rish,xem,ukubona,wo,ukubona,,,
papo,Pope,Pous,papë,Papa,Papa,papa,papa,Papa,Papež,papa,Pope,Pap,Papa,Pave,pápež,Pope,Pope,Pope,Papa,paavst,Aita Santuak,Paavi,le pape,paus,Pope,Pope,Papa,Paparoma,Pope,Pope,Pápa,Pope,Paus,Papa,Paus,Papa,papa,pāvests,popiežius,Poopst,Pope,Pope,Papa,Pope,paus,Pave,Papież,Papa,Papă,ositāulaga,Pope,papa,Pope,Papa,Påve,paus,papa,papa,Rim papasi,Đức Giáo Hoàng,Pope,Pope,Pope,,,
suno,sun,son,diell,günəş,günəş,sunce,sol,adlaw,slunce,dzuwa,soli,solèy,Sunce,sol,slnko,sonce,ghrian,sun,Dom,päike,eguzkia,aurinko,Soleil,sinne,ghrian,haul,sol,rãnã,lā,hnub,nap,anyanwụ,matahari,sole,sun,tav,solis,saule,saulė,Sonn,matahari,masoandro,xemx,ra,zon,sol,słońce,Sol,soare,lā,letsatsi,zuva,qorraxdu,jua,Sol,panonpoe,araw,Güneş,quyosh,mặt trời,ilanga,oorun,ilanga,,,
brili,shine,skyn,shndrit,parlaq,parlaq,sijati,brillantor,ag,lesk,kudzawala,beddhu,klere,sjaj,skinne,lesk,sijaj,Shine,skína,brillar,sära,distira,paistaa,éclat,skine,Shine,disgleirio,brillo,haske,alohi,ci,ragyog,na-enwu,bersinar,brillare,kawentar,birq,luceat,spīdēt,šviesti,Nordliichter,bersinar,hamirapiratra,shine,whiti,schijnen,skinne,połysk,brilho,strălucire,susulu,le ke le khanye,penya,iftiimo,uangaze,glans,caang,kinang,parlamak,nur sochmoq,chiếu sáng,ukhanye,imọlẹ,kukhanye,,,
bebo,baby,baba,bebe,körpə,körpə,beba,nadó,bata,dítě,mwana,zitellu,ti bebe,dijete,baby,dieťa,dojenček,leanbh,barnið,bebé,laps,umea,vauva,bébé,poppe,naoidhean,babi,bebé,baby,bebe,tus me nyuam,baba,nwa,bayi,bambino,baby,bebek,infans,mazulis,kūdikis,Puppelchen,bayi,zazakely,tarbija,tamaiti,baby,baby,dziecko,bebê,bebelus,tamameamea,lesea,mwana,ilmahaaga,mtoto,bebis,orok,sanggol,bebek,chaqaloq,đứa bé,baby,Ọmọ,ingane,,,
iri,to go,om te gaan,për të shkuar,getmək,getmək,ići,anar,sa pag-adto,jít,kupita,andà,yo ale,ići,at gå,ísť,iti,dul,að fara,ir,minema,joan,mennä,aller,Gean,Gu bhith a 'dol,i fynd,Ir,je,e hele,mus,menni,na-aga,untuk pergi,andare,tindak ning,çûn,ire,iet,eiti,goen,untuk pergi,mandeha,biex tmur,ki te haere,gaan,å gå,iść,ir,a merge,e alu,ho ea,kuenda,si ay u tagaan,kwenda,att gå,mun balik,upang pumunta,gitmek,bormoq,đi,ukuhamba,lati lọ,ukuhamba,,,
veni,to come,om te kom,te vish,gəlmək,gəlmək,doći,venir,nga moabut,přijít,kubwera,à vene,vini,doći,at komme,prísť,priti,tar,að koma,venir,tulema,etorri,tulla,venir,komme,a 'tighinn,i ddod,para vir,to zo,e hele mai,tuaj,jönni,na-abịa,datang,venire,teka,hatin,venire,nākt,ateiti,ze kommen,akan datang,ho avy,li ġejjin,ki te haere mai,komen,å komme,przyjść,vir,a veni,ina ia o mai,ho kena,kuuya,inuu yimaado,kuja,att komma,sumping,na dumating,gelmek,kelmoq,đến,ukuza,lati wa,ukuza,,AZERBAIJANI ,ədəbiyyat
vendi,sell,sell,shes,satış,satış,prodaju,vendre,sell,prodat,kugulitsa,vendi,vann,prodati,sælge,sell,prodaja,dhíol,selja,vender,müüa,saldu,myydä,vendre,ferkeapje,reic,gwerthu,Sell,sell,E kuai lilo aku,muag,elad,ere,menjual,vendere,sell,firotin,'vendunt,pārdot,parduoti,verkafen,jual,mivarotra,jbiegħu,hokona,verkopen,selge,Sprzedać,vender,vinde,faʻatau atu,rekisetse,ikatengesa,iibiyay,kuuza,sälja,ngajual,sell,satmak,sotish,bán,ethengisa,ta,ukuthengisa,,CROATIAN ,Književnost
venki,to overcome,te oorkom,për të kapërcyer,aradan qaldırmaq üçün,aradan qaldırmaq üçün,prevazići,per superar,sa pagbuntog sa,překonat,kuthetsa,superchjà,simonte,prevladati,at overvinde,prekonať,premagati,a shárú,að sigrast á,para superar,üle saama,gainditzeko,voittaa,surpasser,oerwinne,gus faighinn seachad air,i oresgyn,para superar,don shawo kan,e lanakila,kov yeej,leküzdeni,imeri,untuk mengatasi,superare,ngalahake,bi ser keve,vincere,pārvarēt,įveikti,ze iwwerwanne,untuk mengatasi,handresy,biex jingħelbu,ki te hinga,te overwinnen,å overvinne,przezwyciężyć,superar,a trece peste,e faatoilalo,ho hlōla,kukunda,in ay ka gudbaan,kushinda,att komma över,nungkulan,upang pagtagumpayan,üstesinden gelmek,yengish uchun,vượt qua,ukuze soyise,lati bori,ukuze unqobe,,ICELANDIC ,bókmenntir
ami,to love,om lief te hê,për dashurinë,sevmək,sevmək,voljeti,estimar,sa gugma,milovat,chikondi,à amore,renmen,voljeti,at elske,milovať,ljubiti,go ghrá,að elska,amar,armastama,Maitatu,rakastaa,aimer,leafhawwe,a ghaoil,caru,ao amor,to soyayya,i ke aloha,rau kev hlub,szeretni,ka ịhụnanya,mencintai,amare,nresnani,jê hezkirin,in caritate,mīlēt,mylėti,Léift,untuk mencintai,mitia,għall-imħabba,ki te aroha,houden van,å elske,kochać,amar,a iubi,i le alofa,ho rata,kuti rudo,caashaq,kupenda,att älska,mun cinta,magmahal,sevmek,sevmoq,yêu,ukuthanda,lati nifẹ,ukuthanda,,ESTONIAN,kirjandus
lito,bed,bed,shtrat,yataq,yataq,krevet,llit,higdaanan,lůžko,bedi,lettu,kabann,krevet,seng,posteľ,postelja,leaba,rúm,cama,voodi,ohea,sänky,lit,bêd,leabaidh,gwely,cama,gado,moe,txaj,ágy,bed,tempat tidur,letto,amben,nivîn,lectulo,gulta,lova,Bett,katil,fandriana,sodda,moenga,bed,seng,łóżko,cama,pat,moega,bethe,mubhedha,sariirta,kitanda,säng,ranjang,kama,yatak,karavot,Giường,embhedeni,ibusun,embhedeni,,FINNISH,Kirjallisuus
profiti,benefit,voordeel,përfitim,fayda,fayda,korist,benefici,kaayohan,výhoda,phindu,prò,benefis,korist,fordel,výhoda,koristi,sochair,ávinningur,beneficio,kasu,Prestazioa,hyöty,avantage,foardiel,buannachd,budd-dal,beneficio,amfani,pono,kev pab,haszon,uru,manfaat,beneficiare,entuk manfaat,fêde,beneficium,labums,nauda,profitéieren,manfaat,mahasoa,benefiċċju,painga,voordeel,fordel,zasiłek,benefício,beneficiu,aogā,rue molemo lijong,kubatsira,lacagta,faida,fördel,kauntungan,pakinabang,yarar,foyda,lợi ích,inzuzo,anfaani,inzuzo,,WELSH ,llenyddiaeth
almenaŭ,at least,ten minste,të paktën,ən azı,ən azı,najmanje,al menys,sa labing menos,alespoň,osachepera,almenu,omwen,barem,i det mindste,najmenej,vsaj,ar a laghad,að minnsta kosti,al menos,vähemalt,gutxienez,vähintään,au moins,teminsten,co-dhiù,o leiaf,polo menos,a kalla,ma ka liʻiliʻi,tsawg kawg,legalább,opekempe,setidaknya,almeno,paling,qet nebe,quidem,vismaz,bent jau,op d'mannst,sekurang-kurangnya,farafaharatsiny,għalinqas,i te iti rawa,minstens,i det minste,przynajmniej,finalmente,macar,ae sili ai,bonyane,zvisingapfuure,ugu yaraan,angalau,minst,sahenteuna,kahit na,en azından,kamida,ít nhất,kungcono,ni o kere,okungenani,,HAWUAIAN,moʻokalaleo
ambaŭ,both,beide,të dy,həm,həm,oba,tots dos,duha,oba,onse,dui,tou de,oba,begge,oba,oboje,araon,bæði,ambos,mõlemad,bai,molemmat,tous les deux,beide,an dà chuid,ddau,tanto,biyu,nā,ob qho tib si,mindkét,ma,kedua,tutti e due,loro,herdû,tum,abi,abu,souwuel,kedua-dua,na,kemm,e rua,beide,både,obie,ambos,ambii,uma e lua,bobeli,zvose zviri zviviri,labada,wote,både,duanana,kapwa,her ikisi de,har ikkala,cả hai,kokubili,mejeeji,kokubili,,HUNGARIAN,Irodalom
ankaŭ,also,ook,gjithashtu,də,də,takođe,també,usab,taky,komanso,dinù,tou,također,også,tiež,prav tako,chomh maith,einnig,además,ka,halaber,myös,aussi,ek,cuideachd,hefyd,tamén,kuma,no hoi,kuj,is,nwekwara,juga,anche,uga,jî,etiam,arī,taip pat,och,juga,ihany koa,wkoll,hoki,ook,også,również,Além disso,de asemenea,foʻi,hape,wo,sidoo kale,pia,också,oge,din,Ayrıca,shuningdek,cũng thế,nayo,tun,futhi,,JAVANESE,Sastra
ankoraŭ,still,steeds,ende,hələ,hələ,još,encara,sa gihapon,ještě pořád,akadali,"ancora,",toujou,još,stadig,stále,vedno,fós,enn,todavía,veel,oraindik,vielä,encore,noch,fhathast,dal,aínda,har yanzu,nō,tseem,még mindig,ka,masih,ancora,isih,hîn,etiam,vēl,dar,nach,masih,mbola,għadu,tonu,nog steeds,fortsatt,nadal,ainda,încă,pea,ntse,vachiri,weli,bado,fortfarande,masih,pa rin,yine,hali,vẫn,kunjalo,tun,namanje,,KURDISH,Hêdane
apenaŭ,barely,skaars,mezi,birtəhər,birtəhər,jedva,tot just,halos,sotva,sadzachitanso,stentu,apèn,jedva,knap,ťažko,komaj,barely,varla,apenas,vaevu,ozta-ozta,Tuskin,à peine,krapoan,gann,prin,apenas,kawai,māhunehune,NW nyuam qhuav,alig,sonso,baru saja,appena,lagi wae,wekî tûne,vix,tikko,vos,knapps,hampir tidak,zara raha,bilkemm,papaki ana,nauwelijks,knapt,ledwo,mal,de abia,tau lē,batlang,padikidiki,oo kali ah,vigumu,nätt och jämnt,bieu pisan,bahagya,zar zor,zo'rg'a,vừa đủ,ngokulambisa,ti awọ,ngokulambisa,,MALAY,Kesusasteraan
baldaŭ,soon,binnekort,shpejt,yaxında,yaxında,uskoro,aviat,sa dili madugay,již brzy,posachedwa,subitu,byento,uskoro,snart,čoskoro,kmalu,luath,fljótlega,pronto,varsti,laster,pian,bientôt,gau,a dh'aithghearr,cyn bo hir,pronto,da ewa ba,koke,sai,hamar,anya,segera,presto,rauh,nêzda,mox,drīz,greitai,geschwënn,tidak lama lagi,tsy ho ela,dalwaqt,hohoro,spoedig,snart,wkrótce,em breve,curând,vave,hang,nokukurumidza,ugu dhakhsaha badan,mara,snart,geuwat,madali,yakında,yaqinda,Sớm,kungekudala,ni kete,ngokushesha,,MALAGASY,Haisoratra
ĉirkaŭ,around,rondom,rreth,ətrafında,ətrafında,oko,al voltant,sa palibot,kolem,kuzungulira,attornu,alantou,oko,rundt om,okolo,okoli,thart,um,alrededor,ümber,inguruan,noin,autour,rûnom,timcheall,o gwmpas,en torno a,kusa da,a puni,nyob ib ncig ntawm,körül,gburugburu,sekitar,in giro,sak,dorhal,circum,apkārt,aplink,ronderëm,sekitar,manodidina,madwar,a tawhio noa,in de omgeving van,rundt,na około,por aí,în jurul,solo,pota,kumativi,ku dhowaad,karibu,runt om,kira-kira,sa paligid,etrafında,atrofida,xung quanh,emhlabeni,ni ayika,emhlabeni,,SAMOAN,tusitusi
hieraŭ,yesterday,gister,dje,dünən,dünən,juče,ahir,kagahapon,včera,dzulo,eri,yè,jučer,i går,včera,včeraj,inné,í gær,ayer,eile,atzoko,eilen,hier,juster,-dè,ddoe,onte,jiya,i nehinei,nag hmo,tegnap,ụnyaahụ,kemarin,ieri,wingi,do,hesterno,vakar,vakar,gëschter,semalam,omaly,bieraħ,inanahi,gisteren,i går,wczoraj,ontem,ieri,ananafi,maobane,zuro,shalay,jana,i går,kamari,kahapon,dün,kecha,hôm qua,izolo,lana,izolo,,SESOTHO,lingoliloeng
hodiaŭ,today,vandag,sot,hazırda,hazırda,danas,avui,karon,dnes,lero,oghje,jodi a,danas,i dag,dnes,danes,inniu,í dag,hoy,täna,gaur,tänään,aujourd'hui,hjoed,an-diugh,heddiw,hoxe,yau,i keia la,hnub no,Ma,taa,hari ini,oggi,dina iki,îro,hodie,šodien,šiandien,haut,hari ini,amin'izao fotoana izao,illum,i tenei ra,vandaag,i dag,dzisiaj,hoje,astăzi,i le asō,kajeno,nhasi,maanta,leo,i dag,kiwari,ngayon,bugün,Bugun,hôm nay,namhlanje,loni,namuhla,,SOMALI,suugaanta
kvazaŭ,as if,asof,sikur,sanki,sanki,kao da,com si,ingon nga kon,jako kdyby,ngati,comu si,tankou si,kao da,som om,ako keby,kot da,ionann is dá,eins og ef,como si,justkui,balitz bezala,ikään kuin,comme si,as soe,mar gum biodh,fel pe,como se,kamar yadda idan,me he mea,raws li yog hais,mintha,dị ka ma ọ bụrụ na,seolah-olah,come se,kaya,wek ku,tamquam,it kā,lyg,wéi wann,seolah-olah,toy ny hoe,bħallikieku,me te mea,alsof,som om,jak gdyby,Até parece,de parca,e pei o,e le haeba,sokunge,sida haddii,kana kwamba,som om,saolah-olah,parang,sanki,go'yo,như thể,ngokungathi,bii pe,engathi,,SUNDANESE,Sastra
morgaŭ,tomorrow,môre,nesër,sabah,sabah,sutra,demà,ugma,zítra,mawa,dumane,demen,sutra,i morgen,zajtra,jutri,amárach,á morgun,mañana,homme,bihar,huomenna,demain,moarn,a-màireach,yfory,mañá,gobe,āpōpō,tag kis,holnap,echi,besok,Domani,sesuk,sibê,cras,rīt,rytoj,muer,esok,rahampitso,għada,apopo,morgen,i morgen,jutro,amanhã,Mâine,taeao,hosane,mangwana,berri,kesho,i morgon,enjing,bukas,yarın,ertaga,Ngày mai,ngomso,ọla,kusasa,,TAGALOG,panitikan
preskaŭ,almost,byna,pothuajse,təxminən,təxminən,skoro,gairebé,hapit,téměř,pafupifupi,guasi,prèske,skoro,næsten,takmer,skoraj,beagnach,nánast,casi,peaaegu,ia,melkein,presque,hast,cha mhòr,bron,case,kusan,ʻaneʻane,yuav luag,majdnem,fọrọ nke nta,hampir,quasi,meh,hema hema,fere,gandrīz,beveik,bal,hampir,efa ho,kważi,tata,bijna,nesten,prawie,quase,aproape,toetoe lava,hoo e ka bang,zvinenge,ku dhowaad,karibu,nästan,meh,halos,neredeyse,deyarli,hầu hết,phantse,fere,cishe,,TURKISH ,Edebiyat
veni,to come,om te kom,te vish,gəlmək,gəlmək,doći,venir,nga moabut,přijít,kubwera,à vene,vini,doći,at komme,prísť,priti,tar,að koma,venir,tulema,etorri,tulla,venir,komme,a 'tighinn,i ddod,para vir,to zo,e hele mai,tuaj,jönni,na-abịa,datang,venire,teka,hatin,venire,nākt,ateiti,ze kommen,akan datang,ho avy,li ġejjin,ki te haere mai,komen,å komme,przyjść,vir,a veni,ina ia o mai,ho kena,kuuya,inuu yimaado,kuja,att komma,sumping,na dumating,gelmek,kelmoq,đến,ukuza,lati wa,ukuza,,UZBEK ,adabiyot
ĝoji,to rejoice,om vrolik te wees,të gëzohen,sevinmək,sevinmək,da se raduje,per alegrar,sa magakalipay,k radosti,kusangalala,à rejoiced,fè fèt,da se raduju,at glæde sig,k radosti,se veselite,go rejoice,að gleðjast,regocijarse,rõõmustada,Pozten,iloita,à se réjouir,to bliid,gu gairdeachas,i lawenhau,para alegrarse,to faranta,i kaʻoliʻoli,rau zoo siab,hogy örvendezz,ka ṅụrịa,untuk bersukacita,rallegrarsi,kanggo gumbira,bi şa,et lætantium,priecāties,džiaugtis,fir iwwer,untuk bergembira,hifaly,li tiċċelebra,ki te koa,te verheugen,å glede seg,radować,para se alegrar,să ne bucurăm,e faafiafia,ho nyakallele,kuti ufare,si reyreeyo,kwa kufurahi,att glädja sig,girang,na magagalak,sevinmek için,quvonishga,để vui mừng,ukuba nemihlali,to yọ,ukuze ijabule,,VIETNAMESE ,Văn chương
Stari,to stand,om op te staan,për të dalë,dayanmaq,dayanmaq,stajati,mantenir-se,sa pagbarug,stát,kuima,addritta,kanpe,stajati,at stå,stáť,stati,chun seasamh,að standa,reposar,seisma,stand,seistä,de se tenir,stean,seasamh,i sefyll,para estar,to tsaya,e ku,sawv ntsug,állni,iguzo,berdiri,Stare in piedi,kanggo ngadeg,to stand,stare,stāvēt,stovėti,stoen,untuk berdiri,mba hitsangana,tqum,ki te tu,staan,å stå,stać,para ficar,a sta,e tu,ho ema,kumira,si ay u istaagaan,kusimama,att stå,mun nangtung,tumayo,durmak,turmoq,đứng,ukuma,lati duro,ukuma,,ZULU ,Kuye kwanyatheliswa izincwadi
Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,sidi,sidi,Sidi,Sidi,Sidi,Sidi,sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,Sidi,,,
Kuŝi ,lie,leuen,gënjeshtër,yalan,yalan,laž,mentida,bakak,lhát,bodza,minzogna,manti,laž,ligge,lož,laž,bréag,lygi,mentira,vale,gezur,valehdella,mensonge,lizze,breug,gorwedd,mentira,kwanta,e moe,dag,hazugság,ụgha,berbohong,menzogna,ngapusi,derew,mendacium,meli,melas,leien,dusta,lainga,jinsabu,takoto,liggen,å ligge,kłamstwo,mentira,minciună,pepelo,leshano,manyepo,been,uwongo,lögn,ngabohong,kasinungalingan,Yalan,yolg'on,nói dối,amanga,luba,amanga,,,
Atentu,Pay attention,Gee aandag,Kushtoj vëmendje,diqqət yetirin,diqqət yetirin,Obrati pažnju,Presta atenció,pay pagtagad,Dávej pozor,Khalani tcheru,Prestà attinzione,Peye atansyon,Obratiti pažnju,Vær opmærksom,Dávaj pozor,Bodite pozorni,Tabhair aire,Taktu eftir,Presta atención,Pane tähele,Arreta jarri,Kiinnittää huomiota,Faites attention,Oplette,Thoir an aire,Talu sylw,Presta atención,Kula,Nānā i ka maka a hoʻolohe i ka pepeiao,Ua tib zoo saib,Figyelj,Tinye uche,Perhatian,Fai attenzione,Pay manungsa waé,Balkêşandin,inclina aurem tuam,Pievērs uzmanību,Atkreipk dėmesį,Oppassen,Beri perhatian,Tandremo tsara,tagħti attenzjoni,aro utu,Let op,Følg med,Zwróć uwagę,Preste atenção,Fiți atenți,Faalogo,Tsepamisa maikutlo,Teerera,Pay dareenka,makini,Var uppmärksam,Perhatoskeun,Bigyang-pansin,Çok dikkat,E'tibor qarating,Chú ý,Qwalasela,Feti sile,Lalela,,,
